Tax Year,Resident Type,Place of Residence,Country,State,County,Disclosure,Number of All Returns,NY AGI of All Returns (in thousands) *,Tax Liability of All Returns (in thousands) **,Number of Taxable Returns,NY AGI of Taxable Returns (in thousands) *,Tax Liability of Taxable Returns (in thousands) **,Number of Nontaxable Returns,NY AGI of Nontaxable Returns (in thousands) *,Tax Liability of Nontaxable Returns (in thousands) **,Average NY AGI of All Returns,Average Tax of All Returns,Average NY AGI of Taxable Returns,Average Tax of Taxable Returns,Average NY AGI of Nontaxable Returns,County Sort Order
2011,Full-Year Resident,New York City - Bronx,United States,New York,Bronx,,"588,674","17,626,369","433,593","299,820","14,719,525","598,802","288,854","2,906,845","-165,209","29,942",737,"49,095","1,997","10,063",1
2011,Full-Year Resident,New York City - Kings,United States,New York,Kings,,"1,078,520","48,145,626","1,989,456","636,200","44,304,145","2,239,988","442,320","3,841,481","-250,532","44,640","1,845","69,639","3,521","8,685",2
2011,Full-Year Resident,New York City - Manhattan,United States,New York,Manhattan,,"808,917","129,181,676","9,465,286","575,612","132,401,862","9,552,543","233,305","-3,220,186","-87,257","159,697","11,701","230,019","16,595","-13,802",3
2011,Full-Year Resident,New York City - Queens,United States,New York,Queens,,"1,028,443","41,248,512","1,512,781","627,276","37,521,694","1,694,491","401,167","3,726,818","-181,709","40,108","1,471","59,817","2,701","9,290",4
2011,Full-Year Resident,New York City - Richmond,United States,New York,Richmond,,"204,587","11,442,144","494,959","140,940","11,001,652","518,404","63,647","440,492","-23,445","55,928","2,419","78,059","3,678","6,921",5
2011,Full-Year Resident,"Total, New York City",United States,New York,"Total, New York City",,"3,709,141","247,644,328","13,896,076","2,279,848","239,948,878","14,604,228","1,429,293","7,695,450","-708,153","66,766","3,746","105,248","6,406","5,384",6
2011,Full-Year Resident,Albany,United States,New York,Albany,,"140,676","7,677,295","368,534","98,199","7,362,112","385,117","42,477","315,183","-16,584","54,574","2,620","74,971","3,922","7,420",7
2011,Full-Year Resident,Allegany,United States,New York,Allegany,,"18,197","663,809","21,063","11,149","594,423","24,125","7,048","69,387","-3,062","36,479","1,157","53,316","2,164","9,845",8
2011,Full-Year Resident,Broome,United States,New York,Broome,,"88,141","3,625,446","136,304","57,184","3,380,900","155,152","30,957","244,546","-18,849","41,132","1,546","59,123","2,713","7,900",9
2011,Full-Year Resident,Cattaraugus,United States,New York,Cattaraugus,,"33,328","1,188,768","37,752","20,637","1,071,691","43,722","12,691","117,077","-5,970","35,669","1,133","51,931","2,119","9,225",10
2011,Full-Year Resident,Cayuga,United States,New York,Cayuga,,"33,148","1,345,517","49,053","22,004","1,242,543","54,581","11,144","102,974","-5,528","40,591","1,480","56,469","2,481","9,240",11
2011,Full-Year Resident,Chautauqua,United States,New York,Chautauqua,,"55,771","1,994,202","63,104","34,237","1,789,682","73,047","21,534","204,520","-9,943","35,757","1,131","52,273","2,134","9,498",12
2011,Full-Year Resident,Chemung,United States,New York,Chemung,,"38,365","1,658,058","63,999","24,641","1,523,099","69,932","13,724","134,959","-5,934","43,218","1,668","61,812","2,838","9,834",13
2011,Full-Year Resident,Chenango,United States,New York,Chenango,,"22,054","780,744","25,072","13,857","705,779","28,850","8,197","74,964","-3,778","35,401","1,137","50,933","2,082","9,145",14
2011,Full-Year Resident,Clinton,United States,New York,Clinton,,"35,374","1,424,591","53,186","23,612","1,327,783","57,550","11,762","96,808","-4,364","40,272","1,504","56,233","2,437","8,231",15
2011,Full-Year Resident,Columbia,United States,New York,Columbia,,"27,717","1,300,932","59,615","18,334","1,301,806","62,837","9,383",-874,"-3,222","46,936","2,151","71,005","3,427",-93,16
2011,Full-Year Resident,Cortland,United States,New York,Cortland,,"19,968","784,000","26,933","13,269","717,880","30,486","6,699","66,119","-3,553","39,263","1,349","54,102","2,298","9,870",17
2011,Full-Year Resident,Delaware,United States,New York,Delaware,,"18,407","657,108","22,405","11,088","602,196","25,207","7,319","54,912","-2,802","35,699","1,217","54,311","2,273","7,503",18
2011,Full-Year Resident,Dutchess,United States,New York,Dutchess,,"131,048","7,905,657","368,085","94,118","7,652,543","380,101","36,930","253,114","-12,017","60,326","2,809","81,308","4,039","6,854",19
2011,Full-Year Resident,Erie,United States,New York,Erie,,"419,875","20,284,106","898,447","286,639","19,172,249","953,392","133,236","1,111,857","-54,946","48,310","2,140","66,886","3,326","8,345",20
2011,Full-Year Resident,Essex,United States,New York,Essex,,"16,221","624,430","23,951","10,347","594,331","26,101","5,874","30,099","-2,150","38,495","1,477","57,440","2,523","5,124",21
2011,Full-Year Resident,Franklin,United States,New York,Franklin,,"19,232","677,948","22,435","11,954","621,147","26,041","7,278","56,801","-3,606","35,251","1,167","51,961","2,178","7,805",22
2011,Full-Year Resident,Fulton,United States,New York,Fulton,,"22,897","834,318","27,299","14,606","753,415","31,224","8,291","80,904","-3,925","36,438","1,192","51,583","2,138","9,758",23
2011,Full-Year Resident,Genesee,United States,New York,Genesee,,"27,555","1,240,365","52,813","18,697","1,165,516","56,554","8,858","74,849","-3,740","45,014","1,917","62,337","3,025","8,450",24
2011,Full-Year Resident,Greene,United States,New York,Greene,,"21,309","969,966","42,969","14,005","920,941","45,193","7,304","49,026","-2,223","45,519","2,016","65,758","3,227","6,712",25
2011,Full-Year Resident,Hamilton,United States,New York,Hamilton,,"2,339","83,925","3,177","1,412","78,433","3,385",927,"5,492",-208,"35,881","1,358","55,548","2,397","5,925",26
2011,Full-Year Resident,Herkimer,United States,New York,Herkimer,,"27,228","975,416","31,133","17,619","886,030","35,857","9,609","89,387","-4,724","35,824","1,143","50,288","2,035","9,302",27
2011,Full-Year Resident,Jefferson,United States,New York,Jefferson,,"41,472","1,587,502","56,320","26,685","1,464,975","63,552","14,787","122,527","-7,232","38,279","1,358","54,899","2,382","8,286",28
2011,Full-Year Resident,Lewis,United States,New York,Lewis,,"10,182","382,310","12,070","6,572","344,680","14,002","3,610","37,631","-1,932","37,548","1,185","52,447","2,131","10,424",29
2011,Full-Year Resident,Livingston,United States,New York,Livingston,,"26,917","1,140,729","42,535","18,373","1,062,301","46,234","8,544","78,428","-3,698","42,379","1,580","57,819","2,516","9,179",30
2011,Full-Year Resident,Madison,United States,New York,Madison,,"28,977","1,319,254","53,715","19,794","1,248,834","58,388","9,183","70,420","-4,673","45,528","1,854","63,092","2,950","7,669",31
2011,Full-Year Resident,Monroe,United States,New York,Monroe,,"343,326","17,049,833","747,784","233,567","16,095,275","795,896","109,759","954,558","-48,112","49,661","2,178","68,911","3,408","8,697",32
2011,Full-Year Resident,Montgomery,United States,New York,Montgomery,,"24,014","893,973","29,726","15,208","810,566","34,336","8,806","83,407","-4,610","37,227","1,238","53,299","2,258","9,472",33
2011,Full-Year Resident,Nassau,United States,New York,Nassau,,"658,918","57,521,651","3,380,879","474,016","57,922,832","3,434,093","184,902","-401,181","-53,214","87,297","5,131","122,196","7,245","-2,170",34
2011,Full-Year Resident,Niagara,United States,New York,Niagara,,"100,050","4,133,726","163,242","67,279","3,875,298","175,885","32,771","258,427","-12,643","41,317","1,632","57,600","2,614","7,886",35
2011,Full-Year Resident,Oneida,United States,New York,Oneida,,"101,815","4,098,080","153,624","65,313","3,772,840","170,277","36,502","325,240","-16,654","40,250","1,509","57,766","2,607","8,910",36
2011,Full-Year Resident,Onondaga,United States,New York,Onondaga,,"209,753","10,482,846","448,169","143,329","9,873,863","484,705","66,424","608,983","-36,536","49,977","2,137","68,889","3,382","9,168",37
2011,Full-Year Resident,Ontario,United States,New York,Ontario,,"50,277","2,569,522","114,415","34,531","2,430,078","120,664","15,746","139,444","-6,248","51,107","2,276","70,374","3,494","8,856",38
2011,Full-Year Resident,Orange,United States,New York,Orange,,"160,424","9,234,676","372,348","110,998","8,764,904","394,633","49,426","469,772","-22,284","57,564","2,321","78,965","3,555","9,505",39
2011,Full-Year Resident,Orleans,United States,New York,Orleans,,"17,944","654,534","20,978","11,725","589,964","23,994","6,219","64,571","-3,016","36,477","1,169","50,317","2,046","10,383",40
2011,Full-Year Resident,Oswego,United States,New York,Oswego,,"51,345","2,062,076","74,872","33,720","1,900,351","82,292","17,625","161,725","-7,420","40,161","1,458","56,357","2,440","9,176",41
2011,Full-Year Resident,Otsego,United States,New York,Otsego,,"25,698","1,017,620","38,826","16,519","944,141","42,321","9,179","73,480","-3,495","39,599","1,511","57,155","2,562","8,005",42
2011,Full-Year Resident,Putnam,United States,New York,Putnam,,"45,841","3,407,902","162,525","34,326","3,339,889","165,027","11,515","68,012","-2,502","74,342","3,545","97,299","4,808","5,906",43
2011,Full-Year Resident,Rensselaer,United States,New York,Rensselaer,,"73,500","3,383,425","136,161","51,136","3,206,757","145,015","22,364","176,668","-8,854","46,033","1,853","62,710","2,836","7,900",44
2013,Full-Year Resident,Broome,United States,New York,Broome,,"90,113","3,901,490.02","148,285.63","58,752","3,646,704.00","161,411.85","31,361","254,786.02","-13,126.22","43,296","1,646","62,069","2,747","8,124",9
2011,Full-Year Resident,Rockland,United States,New York,Rockland,,"134,593","9,139,029","431,695","90,982","9,293,609","451,830","43,611","-154,580","-20,135","67,901","3,207","102,148","4,966","-3,545",45
2011,Full-Year Resident,St. Lawrence,United States,New York,St. Lawrence,,"41,427","1,588,845","55,421","26,026","1,448,926","62,652","15,401","139,919","-7,231","38,353","1,338","55,672","2,407","9,085",46
