Tax Year,Resident Type,Place of Residence,Country,State,County,Income Class,Disclosure,Number of All Returns,NY AGI of All Returns (in thousands) *,Deductions of All Returns (in thousands),Dependent Exemptions of All Returns (in thousands),Taxable Income of All Returns (in thousands),Tax Before Credits of All Returns (in thousands),Tax Liability of All Returns (in thousands) **,Place of Residence Sort Order,Income Class Sort Order
2012,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,"40,000 - 49,999",d/,,,,,,,,205,6
2012,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,"50,000 - 59,999",d/,,,,,,,,205,7
2012,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,"60,000 - 74,999",d/,,,,,,,,205,8
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,"Under 5,000",,632,"-2,644.47",105.089,0,1.904,0.076,0.049,150,1
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,"5,000 - 9,999",,58,432.807,254.527,0,20.854,0.833,1.425,150,2
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,"10,000 - 19,999",,194,"3,036.93","1,231.65",35.233,661.395,27.214,23.048,150,3
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,"20,000 - 29,999",,299,"7,270.07","1,785.28",81,"2,359.97",105.395,85.225,150,4
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,"30,000 - 39,999",,178,"6,152.42","1,186.02",76,"1,917.60",87.272,56.488,150,5
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,"40,000 - 49,999",,84,"3,739.27",510,19,"1,193.84",57.203,28.098,150,6
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,"50,000 - 59,999",,73,"3,970.75",299.475,14,730.973,39.635,18.415,150,7
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,"60,000 - 74,999",,96,"6,458.87",509.217,44,"2,143.69",117.191,60.451,150,8
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,"75,000 - 99,999",,81,"6,862.51",251.298,10,"1,320.02",75.039,25.112,150,9
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,"100,000 - 199,999",,90,"12,201.63",523.287,42,"4,391.15",279.214,71.376,150,10
2012,Full-Year Nonresident,A.P.O./F.P.O,A.P.O./F.P.O,All,All,"200,000 - 249,999",d/,,,,,,,,150,11
